Location,Timestamp,Transmitter_MAC,Receiver_MAC,BSSID,Frame_Type,Signal_dBm,Frequency_MHz,PHY_Type,MCS_Legacy,MCS_WiFi5,MCS_WiFi6,Data_Rate_Mbps
C-203_Pod_CH149,2026-03-31 12:00:52.986599680,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-76,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.038539520,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-79,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.048134400,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-76,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.052590848,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:53.054608640,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:53.056673792,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:53.059215360,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:53.059237888,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:53.061397504,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:53.073561600,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-76,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.073992704,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:53.104580864,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.167562752,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.167935232,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-76,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.196749824,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.213444096,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-74,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.270723072,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.373429504,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-62,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.374222080,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.379399936,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-76,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.379643904,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:53.471961600,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-76,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.497312768,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-76,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.508901632,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.534259200,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.698042368,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-76,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.797961984,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.884392704,fe:5b:85:0f:6b:74,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x0024,-83,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.884468736,fe:5b:85:0f:6b:74,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x0024,-83,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.916961792,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.917244928,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-76,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.945415168,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.952832512,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:53.953955840,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:53.984957696,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-62,5745,8,,1.0,,13.0
